TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
BRCA,P0CG48:UBC,8,P21734:UBC1,0,4,4,"{'TCGA-AC-A5XS', 'TCGA-D8-A143', 'TCGA-B6-A0WZ', 'TCGA-BH-A18U'}",0,set(),0,set(),1.0
BRCA,P0CG48:UBC,8,P61077:UBE2D3,2,2,2,"{'TCGA-B6-A0WZ', 'TCGA-D8-A143'}",0,set(),0,set(),1.0
BRCA,P0CG48:UBC,8,Q9UMX0:UBQLN1,2,1,1,{'TCGA-AN-A03Y'},0,set(),0,set(),1.0
BRCA,P0CG48:UBC,8,A8K3R3:nan,0,1,1,{'TCGA-AC-A23H'},0,set(),0,set(),1.0
BRCA,P0CG48:UBC,8,Q99816:TSG101,3,1,1,{'TCGA-B6-A0WZ'},0,set(),0,set(),1.0
